Target Name,Other name,DR3,Planet ID,RA (deg),DEC (deg),dRA (mas/yr),dDEC (mas/yr),Epoch,J_mag,Number of Visits,IsAPlanet?,Period (days),P_sig,T_mid (BJD),T0_sig,T_dur (hours),T_obs (hours),T_tot (hours),VISDA Cadence,NIRDA Cadence,Priority,Program ID,Contact Person,Observational Constraints (if any),Comments,AUX Team Validated?
spec-56292-GAC089N16V2_sp11-067,,3350458220439396608,,89.64,18.21675438,-0.7273431625,-3.217350365,J2000,10.82,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56292-GAC089N16V2_sp15-036,,3350211178217596544,,89.39,17.6609871,0.4933038417,-5.13403049,J2000,11.69,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56292-GAC089N16V3_sp05-238,,3347246963589680256,,88.38,15.18522219,0.4226571018,-0.6022202159,J2000,12.89,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56292-GAC089N16V3_sp11-078,,3350468768879093632,,88.94,18.00590319,0.9093112848,-4.376215137,J2000,11.81,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56292-GAC089N16V3_sp15-010,,3350028036515348352,,88.8,17.48961691,0.01875316669,-3.870311298,J2000,9.46,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56292-GAC089N16V3_sp16-021,,3398075805593109888,,87.26,17.8013918,1.122494488,-2.639795082,J2000,12.33,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56292-GAC089N16V4_sp05-198,,3348059193445320960,,88.15,15.67329368,0.8677273755,-2.73453524,J2000,11.7,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56293-VB073N23V1_sp01-153,,3412397219420543360,,73.35,21.86181856,-0.7827478045,-3.786200529,J2000,13,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56293-VB073N23V1_sp11-044,,3419879018089986688,,74.15,25.41108058,1.966604474,-6.236777001,J2000,11.61,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56293-VB073N23V1_sp15-026,,3419734982066857088,,73.32,24.714365,-0.2194798749,-3.645982977,J2000,10.79,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56293-VB073N23V1_sp15-222,,147121566399989760,,72.94,24.65998512,1.17755116,-1.859509835,J2000,12,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56293-VB073N23V2_sp09-081,,3419696980196411648,,73.91,24.58295417,2.249259873,-4.342728073,J2000,11.33,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56293-VB073N23V2_sp12-060,,3419870428155428352,,74.1,25.2192245,1.142924237,-4.388573915,J2000,12.66,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56293-VB073N23V3_sp13-035,,3418665122894918016,,76.08,23.60601276,3.142356137,-3.654643462,J2000,11.79,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56295-GAC102N27V3_sp02-222,,3384543115258928000,,100.73,25.1349015,0.8453275766,-3.514796564,J2000,11.81,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56295-GAC102N27V3_sp03-100,,3385762714172704384,,100.75,27.10247869,-0.1110227056,-2.630560486,J2000,9.6,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56296-GAC096N02V1_sp04-105,,3124242606494984064,,97.29,2.639963163,-1.293248935,-0.02054109445,J2000,13.32,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56296-GAC096N02V1_sp08-108,,3123855578402083712,,97.64,1.740033935,0.2230234807,-1.281463143,J2000,10.91,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56296-GAC096N02V1_sp08-183,,3123872753973705088,,97.41,1.908360232,-0.8934417868,-0.8102034765,J2000,13.7,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56296-GAC096N02V1_sp15-009,,3131203442811755776,,96.62,4.050686124,-0.4326297329,-1.965822762,J2000,13.09,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56296-GAC096N02V2_sp02-180,,3123743904956152576,,95.24,1.617403797,-2.848916343,-4.125756475,J2000,12.37,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56296-GAC096N02V2_sp05-134,,3123888769909194752,,96.84,1.67967848,-0.03934893125,-2.189984039,J2000,13.64,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56296-GAC096N02V2_sp07-109,,3120830547035974144,,98.02,1.50002306,-1.881597197,-1.502588376,J2000,9.85,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56296-GAC096N02V2_sp07-119,,3120779316666185088,,97.98,1.295333316,-1.371231941,0.9353407447,J2000,11.99,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56296-GAC096N02V3_sp05-121,,3123936736103506176,,96.95,2.149259792,0.5710616652,-1.973385888,J2000,13.97,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56296-GAC096N02V3_sp05-151,,3124102350042916736,,96.66,2.070665809,-0.2267169121,-1.504071841,J2000,13.72,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56296-GAC096N02V3_sp10-247,,3124629943825342464,,95.19,2.649911544,0.4815930802,-2.551055632,J2000,12.45,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56296-GAC096N02V3_sp15-158,,3131416919867361792,,96.28,4.393958232,0.4890528816,-5.595345776,J2000,10.32,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56296-GAC096N02V3_sp15-159,,3125407264187344896,,95.99,4.190259568,1.242778804,-2.640650992,J2000,13.18,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56296-GAC096N02V4_sp01-183,,3120357065542000768,,97.31,0.7158220407,1.075868784,-4.543743263,J2000,9.79,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56296-GAC096N02V4_sp07-159,,3120343325946012672,,97.58,0.7155016191,-0.09929978418,-1.639591933,J2000,12.98,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56296-GAC096N02V4_sp09-159,,3130384783385822592,,97.29,3.702531002,-0.005666441966,-2.097197735,J2000,13.73,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56296-GAC096N02V4_sp12-190,,3131332940370815744,,98.25,4.939313668,-1.149552089,1.584232527,J2000,12.07,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56296-GAC096N02V4_sp16-171,,3131479759532254720,,95.95,4.502111282,1.609992341,-1.817802214,J2000,11.96,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56299-GAC096N32B1_sp08-141,,3436052417522896256,,97.52,31.51188145,0.9371804439,-1.875441849,J2000,14.05,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56302-GAC085N31B1_sp04-159,,3447742051489336192,,84.53,31.47245729,0.3779287677,-1.794956179,J2000,14.31,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56306-GAC080N33B2_sp04-194,,181229963284325376,,79.9,33.73704708,1.846140025,-2.461597347,J2000,14.52,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56309-GAC088N20V1_sp02-062,,3398432764618846336,,87.76,18.74280931,0.8326276274,-2.9867353,J2000,12.39,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56309-GAC088N20V1_sp03-131,,3399902094406437120,,87.93,20.84029419,-0.6846037588,-0.7927639006,J2000,10,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56309-GAC088N20V1_sp03-140,,3399810865002711424,,87.98,20.49101579,-0.2863374046,-3.605945321,J2000,11.08,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56309-GAC088N20V1_sp06-193,,3374701322257770368,,90.39,19.5832617,0.01223324284,-3.523803733,J2000,10.71,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56309-GAC088N20V1_sp08-203,,3398673454584155648,,89.39,19.00883062,-0.2042993786,-3.076628458,J2000,10.54,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56309-GAC088N20V1_sp14-144,,3400054338109166080,,86.72,21.07736076,0.7399962263,-3.281877688,J2000,12.37,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
spec-56309-GAC088N20V2_sp04-250,,3423035715975909888,,89.14,20.35029727,0.4444043146,-3.424680298,J2000,11.9,-1,,,,,,,,,,,3,ApStarSurvey,J. Rowe,,AP star,
